name,latitude,longitude,is_closed,zipcode,city,state,price,rating,url,review_count,transactions,category,id
Purple Patch,38.9305308856317,-77.0379432430557,False,20010,"Washington, DC",DC,$$,4.5,https://www.yelp.com/biz/purple-patch-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,571,['pickup'],"filipino,tradamerican,cocktailbars",ZgjCUSm-El-zEGdRm769nQ
Bistrot Du Coin,38.913852,-77.046112,False,20009,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/bistrot-du-coin-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1568,"['delivery', 'pickup']",french,9uuDSvj9b7ntCq0ETuizzg
Bistro Bistro,38.91342,-77.04518,False,20009,"Washington, DC",DC,$$,2.5,https://www.yelp.com/biz/bistro-bistro-washington-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,396,"['delivery', 'pickup']","french,italian,mediterranean",W1wXF-ufqYLtTNBwz8nX_w
Lost Society,38.91716,-77.03173,False,20009,"Washington, DC",DC,$$,3.0,https://www.yelp.com/biz/lost-society-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,576,"['delivery', 'pickup']",steak,eaAjtWOMq7JfE0b7KzgAkQ
Sette Osteria,38.912580335231,-77.045462203332,False,20009,"Washington, DC",DC,$$,3.5,https://www.yelp.com/biz/sette-osteria-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,533,['delivery'],"italian,coffee,breakfast_brunch",pUjKDQF0ifCph9AzujZbhg
Gazuza,38.9121208190918,-77.0444488525391,False,20009,"Washington, DC",DC,$$,3.0,https://www.yelp.com/biz/gazuza-washington-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,366,"['delivery', 'pickup']","hookah_bars,lounges",vbE8giq_2YaJWWYn-U0x5g
Amsterdam Falafelshop,38.91513,-77.03236,False,20009,"Washington, DC",DC,$,4.5,https://www.yelp.com/biz/amsterdam-falafelshop-washington-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,338,"['delivery', 'pickup']","falafel,vegetarian,sandwiches",aguz4N77GReqFushBdhVsw
CAVA,38.9294454,-77.0321935,False,20010,"Washington, DC",DC,$,4.5,https://www.yelp.com/biz/cava-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,223,[],mediterranean,EZQNWslQO5fF-6qJ-eRsRw
Zorba's Cafe,38.91169,-77.04517,False,20009,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/zorbas-cafe-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,603,"['delivery', 'pickup']","greek,pizza,mediterranean",AVihKWsWaQAp0f2DPdXe4Q
El Centro DF,38.91469,-77.03155,False,20009,"Washington, DC",DC,$$,3.5,https://www.yelp.com/biz/el-centro-df-washington-4?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1262,[],"mexican,bars",-q6IwRHCsSwc8q2QC-ZFVQ
Kramerbooks & Afterwords Cafe,38.91083,-77.04382,False,20036,"Washington, DC",DC,$$,3.5,https://www.yelp.com/biz/kramerbooks-and-afterwords-cafe-washington-3?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1705,[],"bookstores,bars,tradamerican",56eh2_ZImiSYeZ6qexhnmA
Ben's Next Door,38.917324,-77.0287,False,20009,"Washington, DC",DC,$$,3.5,https://www.yelp.com/biz/bens-next-door-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,632,"['delivery', 'pickup']","bars,tradamerican",-XkoQgIL-wgHCkqRg9rhQQ
Hank's Oyster Bar,38.9109399,-77.03812,False,20009,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/hanks-oyster-bar-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1176,[],"seafood,bars,newamerican",Iq1BwdGAOIVF8ki7Bh0Jug
Pizzeria Paradiso,38.9098109186293,-77.0451466967047,False,20036,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/pizzeria-paradiso-washington-4?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,990,['pickup'],"pizza,beerbar",JpC8FnVYC722GFeuhGzRxA
Barcelona Wine Bar,38.91211,-77.0323499,False,20005,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/barcelona-wine-bar-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1324,[],"tapasmallplates,wine_bars,spanish",Ygce6oUeuww37_loxq264g
DC Cafe,38.90982,-77.04643,False,20036,"Washington, DC",DC,$,4.0,https://www.yelp.com/biz/dc-cafe-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,257,[],"greek,mediterranean",_3LhPRuwGwLbsFq9ovdtrw
Tilt,38.91163,-77.03229,False,20005,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/tilt-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,10,[],"bars,newamerican",ylWz4U1XPvxdCCT7-W0-xw
Al Tiramisu,38.9093919,-77.04557,False,20036,"Washington, DC",DC,$$$,4.0,https://www.yelp.com/biz/al-tiramisu-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,321,[],italian,KAlEMleKomiXDmE7wDOZeA
Le Diplomate,38.911359,-77.031575,False,20009,"Washington, DC",DC,$$$,4.5,https://www.yelp.com/biz/le-diplomate-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,2663,[],"brasseries,french,breakfast_brunch",j9qYRR8HCXm_GEnetijOGA
