name,latitude,longitude,is_closed,zipcode,city,state,price,rating,url,review_count,transactions,category,id
Kramerbooks & Afterwords Cafe,38.91083,-77.04382,False,20036,"Washington, DC",DC,$$,3.5,https://www.yelp.com/biz/kramerbooks-and-afterwords-cafe-washington-3?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,1702,[],"bookstores,bars,tradamerican",56eh2_ZImiSYeZ6qexhnmA
Hank's Oyster Bar,38.9109399,-77.03812,False,20009,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/hanks-oyster-bar-washington?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,1175,[],"seafood,bars,newamerican",Iq1BwdGAOIVF8ki7Bh0Jug
Pizzeria Paradiso,38.9098109186293,-77.0451466967047,False,20036,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/pizzeria-paradiso-washington-4?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,989,['pickup'],"pizza,beerbar",JpC8FnVYC722GFeuhGzRxA
Barcelona Wine Bar,38.91211,-77.0323499,False,20005,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/barcelona-wine-bar-washington?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,1322,[],"tapasmallplates,wine_bars,spanish",Ygce6oUeuww37_loxq264g
DC Cafe,38.90982,-77.04643,False,20036,"Washington, DC",DC,$,4.0,https://www.yelp.com/biz/dc-cafe-washington?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,257,[],"greek,mediterranean",_3LhPRuwGwLbsFq9ovdtrw
Al Tiramisu,38.9093919,-77.04557,False,20036,"Washington, DC",DC,$$$,4.0,https://www.yelp.com/biz/al-tiramisu-washington?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,320,[],italian,KAlEMleKomiXDmE7wDOZeA
Tilt,38.91163,-77.03229,False,20005,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/tilt-washington?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,10,[],"bars,newamerican",ylWz4U1XPvxdCCT7-W0-xw
Le Diplomate,38.911359,-77.031575,False,20009,"Washington, DC",DC,$$$,4.5,https://www.yelp.com/biz/le-diplomate-washington?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,2661,[],"brasseries,french,breakfast_brunch",j9qYRR8HCXm_GEnetijOGA
Commissary,38.9098062294871,-77.0335950193471,False,20005,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/commissary-washington?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,1080,['pickup'],"newamerican,breakfast_brunch,sandwiches",wzU5moi-ezzcfYUInOwxAA
Ankara,38.9081,-77.04377,False,20036,"Washington, DC",DC,$$,3.5,https://www.yelp.com/biz/ankara-washington?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,258,[],"mediterranean,turkish",Kum_yBojFgplX6U68iUR4g
