name,latitude,longitude,is_closed,zipcode,city,state,price,rating,url,review_count,transactions,category,id
Buffalo Wild Wings,40.72061,-73.84451,False,11375,Forest Hills,NY,$$,2.5,https://www.yelp.com/biz/buffalo-wild-wings-forest-hills?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,598,['pickup'],"chicken_wings,sportsbars,tradamerican",zosLFYvXex4W2df9WlO73g
River House Grille,40.6353566,-73.5822908,False,11520,Freeport,NY,$$$,2.5,https://www.yelp.com/biz/river-house-grille-freeport?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,199,[],"seafood,bars,delis,sandwiches",ybNwT-MGWryWEWjuPwMixQ
Rachel's Waterside Grill,40.6321021,-73.5815831,False,11520,Freeport,NY,$$,3.0,https://www.yelp.com/biz/rachels-waterside-grill-freeport-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,281,[],"seafood,tradamerican",fjfKgg-o6F1533ooiW2j2w
Otto's Sea Grill,40.63244,-73.58151,False,11520,Freeport,NY,$$,2.0,https://www.yelp.com/biz/ottos-sea-grill-freeport?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,209,[],seafood,mol7BoyQ5eTmYxHqaPcVtw
Corfu Grill,40.7208696,-73.8463263,False,11375,Forest Hills,NY,$$,3.5,https://www.yelp.com/biz/corfu-grill-forest-hills?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,360,"['delivery', 'pickup']","greek,mediterranean",TeY4WfWwtvQ53Vt_DgwJcg
Exo Cafe,40.7209,-73.846475,False,11375,Forest Hills,NY,$$,3.5,https://www.yelp.com/biz/exo-cafe-forest-hills?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,454,"['delivery', 'pickup']","newamerican,burgers",F0dV1dQWQ2DsT1EtSVgdnQ
Tropix On The Mile,40.62889,-73.58077,False,11520,Freeport,NY,$$,3.0,https://www.yelp.com/biz/tropix-on-the-mile-freeport?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,213,[],"bars,danceclubs,seafood",4MK8S_jZ9FXajSip3PGbRg
El Coyote - Forest Hills,40.72108,-73.84654,False,11375,Forest Hills,NY,$$,3.0,https://www.yelp.com/biz/el-coyote-forest-hills-forest-hills-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,243,"['delivery', 'pickup']","mexican,cocktailbars",HjffHJTq9BvZrv0NV7dUgw
Agora Taverna,40.721009372316,-73.846807820392,False,11375,Forest Hills,NY,$$,3.5,https://www.yelp.com/biz/agora-taverna-forest-hills-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,533,"['delivery', 'pickup']","greek,seafood",dT4fl34s1MQaLQARc5BSFw
Applebee's Grill + Bar,40.735443,-73.675574,False,11040,New Hyde Park,NY,$$,3.0,https://www.yelp.com/biz/applebees-grill-bar-new-hyde-park?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,88,"['delivery', 'pickup']","tradamerican,sportsbars,burgers",wW-BsFt3FsH-jbfrIixHHQ
Atlantis Diner,40.6431786,-73.9141128,False,11236,Brooklyn,NY,$$,3.5,https://www.yelp.com/biz/atlantis-diner-brooklyn?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,17,[],"newamerican,diners,breakfast_brunch",2Souder8nK1UM_Z86tlklQ
Chili's,40.7094545,-73.8691764,False,11385,Glendale,NY,$$,2.5,https://www.yelp.com/biz/chilis-glendale-5?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,280,[],"tradamerican,tex-mex,bars",zy4c9c58POWmm7UBc-49nA
