name,latitude,longitude,is_closed,zipcode,city,state,price,rating,url,review_count,transactions,category,id
Top Mix Bar & Kitchen,42.32374,-71.06808,FALSE,2119,Boston,MA,$$,4.5,https://www.yelp.com/biz/top-mix-bar-and-kitchen-boston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,37,[],"cocktailbars,newamerican",l6Ye6vPB6ZPZbxVxMMgvPQ
The Talk,42.36699,-71.18738,FALSE,2472,Watertown,MA,$$,3.5,https://www.yelp.com/biz/the-talk-watertown-2?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,278,"['pickup', 'delivery']","tradamerican,italian",9jlK2GUXrk40TbN1yTSMJw
Lolita Cocina & Tequila Bar Back Bay,42.35058604,-71.07750847,FALSE,2116,Boston,MA,$$,4,https://www.yelp.com/biz/lolita-cocina-and-tequila-bar-back-bay-boston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,1779,[],"mexican,lounges,cocktailbars",u51e3gychuqBYNqe2xG6_w
Stephi's on Tremont,42.3436382,-71.07257,FALSE,2118,Boston,MA,$$,3.5,https://www.yelp.com/biz/stephis-on-tremont-boston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,460,['delivery'],"newamerican,comfortfood,bars",G2qQ72XEMVW4A9SNDHGwOg
Bondir Cambridge,42.3682904,-71.0977689,FALSE,2139,Cambridge,MA,$$$$,4,https://www.yelp.com/biz/bondir-cambridge-cambridge-2?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,313,[],newamerican,T8DpRFty13MXLf6MB43aLg
Thai Basil Restaurant,42.35092,-71.07669,FALSE,2116,Boston,MA,$$,3.5,https://www.yelp.com/biz/thai-basil-restaurant-boston-2?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,414,"['pickup', 'delivery']","thai,seafood,noodles",XWF0qtV3GxkgfdvAjwpfzQ
Delux Café,42.34628,-71.07289,FALSE,2116,Boston,MA,$$,4,https://www.yelp.com/biz/delux-caf%C3%A9-boston-2?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,295,[],"bars,tradamerican",zZ7roMv_c8R4slTMPPdkng
The Butcher Shop,42.34376,-71.071454,FALSE,2118,Boston,MA,$$$,4,https://www.yelp.com/biz/the-butcher-shop-boston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,482,[],"steak,butcher,modern_european",5LEP8Rcb4_To8amoZodtow
The Gallows,42.3413899,-71.07019,FALSE,2118,Boston,MA,$$,4,https://www.yelp.com/biz/the-gallows-boston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,797,[],"burgers,bars,tradamerican",5HMXgD_gui5n0Tc_hadesg
B&G Oysters,42.34388,-71.07123,FALSE,2116,Boston,MA,$$$,4,https://www.yelp.com/biz/b-and-g-oysters-boston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,952,[],"seafood,wine_bars",mxjVk5rvPNhzYe_vt3OSQA
Sofia Italian Steakhouse,42.270801,-71.17173,FALSE,2132,West Roxbury,MA,$$$,4,https://www.yelp.com/biz/sofia-italian-steakhouse-west-roxbury-2?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,234,[],"steak,italian",nlZghMJ6hcu_b7gzwzYdxQ
Post 390,42.34886388,-71.0740035,FALSE,2116,Boston,MA,$$$,3.5,https://www.yelp.com/biz/post-390-boston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,614,['delivery'],"bars,newamerican",nlnWODemnfzut10tzC5x3A
The Brahmin,42.3484325,-71.0731806,FALSE,2116,Boston,MA,$$,3.5,https://www.yelp.com/biz/the-brahmin-boston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,372,['delivery'],"newamerican,cocktailbars",vCaaXCYqpBsxJy2kBR67IA
Mistral,42.34815783,-71.07275914,FALSE,2116,Boston,MA,$$$$,4,https://www.yelp.com/biz/mistral-boston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,895,[],french,VH0Ib9S3E-dxbQdQC4rffg
Barcelona Wine Bar South End,42.34493551,-71.07054364,FALSE,2116,Boston,MA,$$,4.5,https://www.yelp.com/biz/barcelona-wine-bar-south-end-boston-6?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,861,[],"spanish,wine_bars,tapasmallplates",mP1EdIafQKMuOm9O4PzAfA
Oleana Restaurant,42.37055,-71.09713,FALSE,2139,Cambridge,MA,$$$,4.5,https://www.yelp.com/biz/oleana-restaurant-cambridge?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,1367,[],mediterranean,kLr68qdt6nutZCuCMz5mDg
Coppa Enoteca,42.34346,-71.06873,FALSE,2118,Boston,MA,$$$,4,https://www.yelp.com/biz/coppa-enoteca-boston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,777,['delivery'],"italian,tapasmallplates",GwwX5JjuOVpw0ZlBvCqEOg
Gaslight,42.34096779,-71.06739019,FALSE,2118,Boston,MA,$$,4,https://www.yelp.com/biz/gaslight-brasserie-boston-5?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,1840,"['delivery', 'pickup']","french,newamerican,cocktailbars",5TsjdwNt10gxGChQtGGpdg
Grill 23 & Bar,42.34942187,-71.07205006,FALSE,2116,Boston,MA,$$$$,4,https://www.yelp.com/biz/grill-23-and-bar-boston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,914,[],"seafood,steak,wine_bars",_98MfEQ67r9-V78gmy8_Pg
Applebee's Grill + Bar,42.3255168,-71.0634142,FALSE,2125,Dorchester,MA,$$,2.5,https://www.yelp.com/biz/applebees-grill-bar-dorchester?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,132,[],"sportsbars,burgers,tradamerican",eqr5t-Py3oOhIuukz27dEA
FiRE + iCE  Grill + Bar,42.35066,-71.07249,FALSE,2116,Boston,MA,$$,3,https://www.yelp.com/biz/fire-ice-grill-bar-boston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,621,[],"mongolian,tradamerican,cocktailbars",dz2OSto01aMIWkGHXd8lOg
Da Vinci,42.3493148,-71.07076,FALSE,2116,Boston,MA,$$$,4.5,https://www.yelp.com/biz/da-vinci-boston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,391,['delivery'],italian,gCsidBqhALICug9E2AphCw
