yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
y6rNHFKO0kuEAf1yYL_ifw,37.0,23.0,49.0,46.0,2.0,30.0,33.0,4.0,21.0,3.0,3.0,40.0,4.0,2.0,,,
yBOed_HywFXyPVa_Vz6iTQ,41.0,25.0,44.0,62.0,3.0,29.0,31.0,6.0,34.0,1.0,2.0,33.0,13.0,1.0,,,1.0
yIIBinX7jh_SzNJS_TSw7w,26.0,12.0,30.0,28.0,5.0,34.0,15.0,2.0,9.0,1.0,1.0,17.0,2.0,,5.0,,
yif1pqRj5r_dhlMroc8RnA,17.0,6.0,12.0,48.0,5.0,29.0,14.0,7.0,26.0,1.0,1.0,33.0,3.0,,,,
ymHpqTrC-zEHKZAchtXKiw,18.0,10.0,31.0,15.0,5.0,31.0,12.0,1.0,8.0,1.0,3.0,21.0,2.0,,3.0,,
ypXRnoQhSUMRAe1GltI9og,9.0,,4.0,6.0,1.0,12.0,2.0,10.0,1.0,,,10.0,1.0,,,,1.0
yxLvyIHTYXiZB6-y1lFp8A,14.0,3.0,17.0,6.0,,21.0,3.0,2.0,8.0,,1.0,3.0,2.0,1.0,,,
z01qK44wFt0KR7RDYQNgKw,72.0,38.0,73.0,51.0,4.0,37.0,59.0,2.0,17.0,,12.0,26.0,21.0,4.0,1.0,,
z1J0lVDuy7X7g9Xeha3jKg,6.0,5.0,18.0,25.0,3.0,29.0,13.0,,5.0,,,6.0,2.0,,,,
z23QUl8-OGhiF5B2tJBeYA,64.0,31.0,47.0,27.0,5.0,65.0,46.0,1.0,15.0,3.0,12.0,25.0,6.0,2.0,,,
z4UopTuEkrO4LT1sVq6LJw,44.0,30.0,9.0,31.0,4.0,56.0,26.0,4.0,18.0,1.0,17.0,30.0,3.0,,2.0,,
z594rkgmYYlGUBA3sF_9Gw,18.0,8.0,11.0,29.0,,7.0,14.0,2.0,7.0,,7.0,12.0,4.0,1.0,1.0,,
zA6Q9MVc2Tk4HTrurx2avQ,57.0,26.0,62.0,18.0,,75.0,21.0,8.0,6.0,3.0,2.0,21.0,4.0,,,,
zIzMKgKPrCAayYxsjjhBaw,12.0,1.0,10.0,12.0,,28.0,5.0,5.0,,,1.0,2.0,1.0,,3.0,,
zTZBw4UOCQTrW0CAeT7WcA,6.0,1.0,3.0,5.0,,,1.0,6.0,4.0,1.0,,2.0,1.0,,,,
zYymsWEVEy02KA2KES1faw,18.0,7.0,21.0,24.0,2.0,32.0,7.0,3.0,8.0,2.0,1.0,7.0,2.0,,1.0,,
z_b9nZMf7CMkpZLApCGEmw,13.0,2.0,6.0,15.0,,16.0,3.0,10.0,2.0,,,8.0,2.0,,,,
zff5Q0jJgiW0rjDmFS8Sxw,17.0,6.0,1.0,8.0,2.0,9.0,2.0,2.0,2.0,,2.0,6.0,3.0,,1.0,,
zmZ3HkVCeZPBefJJxzdJ7A,34.0,10.0,17.0,30.0,,32.0,12.0,1.0,12.0,,1.0,16.0,,,2.0,,
zpVIQBNPh8yvwtlI5VyOkA,10.0,3.0,8.0,41.0,,2.0,10.0,8.0,2.0,1.0,,7.0,4.0,,1.0,,
zqERJOhGitMgPSfN373MhA,5.0,4.0,6.0,8.0,2.0,49.0,4.0,1.0,7.0,,,13.0,2.0,,3.0,,
