yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
IcqTDz1oRQ6Plvv3wUbm4Q,24.0,7.0,15.0,8.0,,20.0,11.0,1.0,5.0,,2.0,3.0,3.0,1.0,,,
Iq1BwdGAOIVF8ki7Bh0Jug,16.0,5.0,32.0,15.0,1.0,15.0,18.0,,9.0,2.0,12.0,25.0,,,1.0,,
Ivy6kq6Tv2ztNZIp4aLLmA,9.0,,5.0,1.0,,7.0,1.0,,,,,1.0,,,,,1.0
IzT4n5qDMzF6fJ33-wwdDw,12.0,2.0,4.0,8.0,,18.0,2.0,1.0,4.0,2.0,,8.0,2.0,1.0,,,
JbjX2JLvMlZLfbTzHxBK9g,6.0,1.0,13.0,,2.0,6.0,15.0,,,,,,,,,,
JcF8L86BMH8Hx0mWxPJv8w,31.0,16.0,14.0,26.0,2.0,32.0,12.0,1.0,8.0,2.0,,9.0,4.0,,1.0,,
JjGLEi6zw5PgR4AQfDPBng,19.0,7.0,49.0,21.0,4.0,18.0,13.0,,10.0,,1.0,8.0,,,3.0,,
Jk890uJFlkZQcpJ_WIHZaA,18.0,4.0,54.0,16.0,4.0,27.0,6.0,,7.0,1.0,2.0,21.0,2.0,1.0,1.0,,
JmqXHl4hsfzRZGDg58hxaA,29.0,7.0,21.0,45.0,2.0,60.0,18.0,3.0,7.0,2.0,2.0,11.0,4.0,2.0,1.0,,2.0
JnquzUsxxOFPvYUlKc0Njg,17.0,4.0,16.0,39.0,2.0,60.0,12.0,2.0,6.0,,2.0,9.0,1.0,1.0,,,1.0
JpC8FnVYC722GFeuhGzRxA,28.0,12.0,50.0,39.0,4.0,43.0,23.0,,12.0,,12.0,22.0,1.0,1.0,2.0,,
JzGaXaaQZPXK_x9WXDDcsw,5.0,1.0,1.0,5.0,,5.0,6.0,4.0,1.0,1.0,,,3.0,,1.0,,
K4L7keIAXIO-wNNJM3coIA,9.0,3.0,,14.0,,10.0,6.0,3.0,3.0,,,1.0,,,1.0,,
KAlEMleKomiXDmE7wDOZeA,29.0,11.0,52.0,40.0,4.0,43.0,24.0,,12.0,,12.0,21.0,1.0,1.0,2.0,,
KMAHhiDKmFnsszK0E0J0BA,7.0,,3.0,12.0,,10.0,5.0,1.0,2.0,,,2.0,1.0,,1.0,,
KMrr9hYyrK3J_V8lmeLQvA,1.0,2.0,13.0,11.0,4.0,11.0,7.0,,10.0,2.0,,6.0,,,,,
KOOTZMjLyGQzG-5uZbSASw,20.0,7.0,38.0,23.0,3.0,11.0,11.0,3.0,19.0,1.0,1.0,7.0,4.0,,,,
KkHfLfN4jNivWSU1us-azA,40.0,20.0,60.0,9.0,1.0,57.0,44.0,,14.0,3.0,20.0,21.0,7.0,2.0,,,
Klz2UL-_MOFkcpfWM69rzQ,11.0,3.0,3.0,10.0,,6.0,3.0,1.0,2.0,,,3.0,,,,,
KnWmhxLgFKV5KkltiDJNbQ,7.0,1.0,3.0,12.0,,13.0,2.0,3.0,3.0,1.0,,4.0,3.0,,,,
Kum_yBojFgplX6U68iUR4g,41.0,19.0,55.0,44.0,4.0,40.0,33.0,,15.0,1.0,9.0,28.0,2.0,1.0,2.0,,
KzvDIfyPmWQ0MPDTldtNNg,19.0,7.0,53.0,21.0,4.0,19.0,14.0,,12.0,,1.0,8.0,,,2.0,,
L18Zrls7Ke3wObDxjUx1cg,,,1.0,1.0,,8.0,,,,,,1.0,,,,,
L1RVFitfGswV0dUneVCt9g,1.0,,6.0,1.0,1.0,,5.0,,,1.0,1.0,5.0,,,,,
LBKph_FnJH_BIwOfW5s5FA,1.0,,7.0,1.0,1.0,10.0,6.0,,2.0,,,6.0,,,,,
LaF6ZwGWP-y8pAs5M3LUBQ,17.0,9.0,17.0,29.0,1.0,24.0,11.0,3.0,11.0,,,8.0,1.0,,1.0,,
LhVZjnt_W_RGymDCGJZVBw,2.0,1.0,11.0,7.0,,14.0,3.0,,4.0,,1.0,4.0,,1.0,,,
LkDl2WYXOVlW3NuKYLfu7A,4.0,,1.0,3.0,,5.0,3.0,4.0,,,,,,,,,
LyrC7SNMvq07iJiGvwX6Aw,2.0,,8.0,,5.0,2.0,7.0,,,,,,,,,,
M9AQY6psXPaiXhl8JRbWMg,20.0,5.0,10.0,2.0,4.0,39.0,24.0,,1.0,,4.0,17.0,2.0,1.0,1.0,,2.0
MARpjcuJ3XgHPFH7ZdUz4w,,,,,,6.0,1.0,,,,,3.0,,,,,
MVVOLevQSzS3ogKyEW24Bw,23.0,12.0,43.0,43.0,5.0,22.0,30.0,,24.0,2.0,,16.0,6.0,,1.0,,
Mnw_f3aoj4aqBN6_m1eZLw,8.0,2.0,16.0,3.0,,14.0,7.0,1.0,4.0,,1.0,5.0,,1.0,1.0,,
NG40ta9H5sV4rChMX5B4Mg,4.0,2.0,1.0,5.0,,23.0,4.0,2.0,1.0,,,4.0,,,,,
