yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,train_station
IQHdw04Ymy7JrlDLIBcrhA,52.0,41.0,51.0,44.0,6.0,48.0,59.0,1.0,11.0,4.0,4.0,22.0,11.0,,2.0,1.0
ITFRPmzOeEp6dY3Dufh8vw,60.0,16.0,60.0,60.0,4.0,41.0,60.0,,24.0,1.0,11.0,31.0,21.0,1.0,2.0,
ImPPcbVqEFhNw42S2BZ_EA,25.0,1.0,16.0,3.0,,16.0,24.0,2.0,3.0,,12.0,6.0,6.0,,,
Ivy6kq6Tv2ztNZIp4aLLmA,9.0,,5.0,1.0,,7.0,1.0,,,,,1.0,,,,1.0
IxDRIBkKtP-f24sr5zHAhQ,13.0,,25.0,2.0,1.0,22.0,16.0,3.0,6.0,,2.0,11.0,,,1.0,
J-gFvT4B5UoZgoEOAmxNxw,22.0,6.0,28.0,43.0,8.0,33.0,25.0,4.0,10.0,1.0,,32.0,,1.0,2.0,
J5Hkb21HQMT8YfsbrpFxPw,21.0,8.0,11.0,22.0,1.0,26.0,7.0,1.0,8.0,,,7.0,,,,
JF34QHu2bypp_Ro_sp8hjA,4.0,,,5.0,,9.0,,2.0,,,,3.0,,,1.0,
JGHqF70JD9ytZt_EP3G0bA,11.0,8.0,14.0,10.0,1.0,14.0,12.0,1.0,9.0,,,12.0,1.0,,,
JJnkXwf96vh1Uu7XZWZZAg,60.0,20.0,60.0,42.0,6.0,56.0,36.0,,8.0,2.0,4.0,17.0,2.0,,5.0,
JbjX2JLvMlZLfbTzHxBK9g,6.0,1.0,13.0,,2.0,6.0,15.0,,,,,,,,,
JdYZWIAzjxVyUjt0zNR7kw,23.0,15.0,42.0,40.0,3.0,40.0,55.0,1.0,15.0,5.0,3.0,16.0,10.0,,1.0,1.0
JkaliKynIy_DWZW0-CBWAA,2.0,,3.0,2.0,,5.0,2.0,,2.0,,2.0,2.0,1.0,,,
Jl51soj64xo1o5Jb98eoyw,3.0,2.0,10.0,10.0,,20.0,9.0,,10.0,,,20.0,1.0,,,
JyllVgZFW0jeIr2NK-zNNw,16.0,9.0,7.0,8.0,,5.0,10.0,4.0,2.0,1.0,,2.0,2.0,,,
K3vAF_Cxk0FrDXQe0KlmGg,4.0,2.0,9.0,14.0,3.0,8.0,6.0,,2.0,,,7.0,,,,
K4L7keIAXIO-wNNJM3coIA,9.0,3.0,,14.0,,10.0,6.0,3.0,3.0,,,1.0,,,1.0,
K9XVDlPNhrrSVEJN7uWqJQ,32.0,7.0,38.0,27.0,3.0,42.0,24.0,,7.0,,4.0,17.0,1.0,,1.0,
KIK0Frk34Bi99FbNxQNMmQ,36.0,7.0,44.0,30.0,4.0,33.0,28.0,2.0,14.0,4.0,1.0,26.0,1.0,,1.0,
KJH5Nyaw1CE_QgDGHtzOWg,5.0,2.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,,,7.0,,,,
KMAHhiDKmFnsszK0E0J0BA,6.0,,3.0,12.0,,10.0,5.0,1.0,2.0,,,2.0,1.0,,1.0,
KMrr9hYyrK3J_V8lmeLQvA,1.0,2.0,13.0,11.0,4.0,11.0,7.0,,10.0,2.0,,6.0,,,,
KWR8Qb-43BZv016WlpnQ9w,5.0,3.0,18.0,1.0,,14.0,21.0,,5.0,,,12.0,,,,
KfrgWyMWH1HBGvoUkDYoRQ,34.0,1.0,23.0,4.0,,13.0,24.0,2.0,4.0,,8.0,5.0,8.0,,1.0,
Kk72llJNg0Ae85cEOmeSmA,60.0,60.0,43.0,23.0,5.0,60.0,60.0,,24.0,1.0,5.0,26.0,7.0,2.0,3.0,
KkAVX3Wb7E3lP5F_f_8pXg,45.0,6.0,60.0,60.0,3.0,47.0,45.0,,12.0,1.0,9.0,23.0,3.0,,1.0,
KmMoL9ltza4_uE2JrhaQNw,15.0,6.0,1.0,3.0,,9.0,5.0,7.0,1.0,,,2.0,,,,
KqtOj1rpjcucDFBC9UZM9w,14.0,11.0,10.0,6.0,1.0,25.0,15.0,2.0,2.0,2.0,5.0,12.0,3.0,,1.0,1.0
Kxwc8PIKy2JsegNwgBjAtA,31.0,8.0,39.0,53.0,4.0,51.0,19.0,2.0,18.0,1.0,4.0,27.0,1.0,,2.0,
L18Zrls7Ke3wObDxjUx1cg,,,1.0,,,8.0,,,,,,1.0,,,,
L2Iy2Wp7ClrVCfSUrfZDMw,22.0,6.0,25.0,29.0,2.0,29.0,16.0,2.0,8.0,1.0,5.0,10.0,1.0,,1.0,
L5vSeC_sa3TUQW_lticqyA,25.0,7.0,23.0,38.0,3.0,33.0,13.0,3.0,6.0,,,24.0,1.0,,2.0,
L7pc5vy6tv8WDcrwOGplDA,44.0,4.0,60.0,50.0,5.0,52.0,53.0,,10.0,6.0,7.0,36.0,18.0,1.0,6.0,
L8c4IbRg9_zZSY0T7HUP8w,60.0,15.0,60.0,60.0,3.0,40.0,60.0,,23.0,1.0,12.0,30.0,20.0,,1.0,
LCF_0HEXZ1SzV1yxwaz1Xg,3.0,,,,,3.0,,4.0,,,,,,,,
LFxokisnLXNgVKpM_fJZqA,4.0,,1.0,4.0,,18.0,1.0,,,,,17.0,,,1.0,
LKuf4QjFMVeUdlZZoiTbgQ,60.0,13.0,60.0,60.0,7.0,48.0,60.0,,16.0,9.0,11.0,35.0,27.0,1.0,3.0,
LaF6ZwGWP-y8pAs5M3LUBQ,17.0,9.0,17.0,29.0,1.0,24.0,11.0,3.0,11.0,,,8.0,1.0,,1.0,
LjVlsV9tKGnv7e4Iyt9c5Q,23.0,6.0,25.0,29.0,2.0,29.0,15.0,2.0,8.0,1.0,6.0,11.0,1.0,,1.0,
LkDl2WYXOVlW3NuKYLfu7A,4.0,,1.0,3.0,,5.0,3.0,4.0,,,,,,,,
Lw7NmZ3j-WEye97ywEmkXQ,60.0,36.0,59.0,31.0,14.0,39.0,60.0,,6.0,,8.0,19.0,7.0,,3.0,
Lxb2mz0Yay7y8HSmvJ7dmA,12.0,,33.0,18.0,6.0,28.0,20.0,,17.0,3.0,2.0,22.0,3.0,,1.0,
LyrC7SNMvq07iJiGvwX6Aw,2.0,,8.0,,5.0,2.0,7.0,,,,,,,,,
MARpjcuJ3XgHPFH7ZdUz4w,,,,,,6.0,1.0,,,,,3.0,,,,
MDTJK0mH5Xc14aCwNuMg7Q,53.0,15.0,60.0,60.0,2.0,35.0,60.0,,21.0,1.0,13.0,32.0,19.0,,,
MIJ2lGmKAHe41xRcefHzvg,39.0,7.0,51.0,26.0,6.0,41.0,35.0,3.0,14.0,4.0,1.0,36.0,3.0,,,
MRNcnBmlRB7bLDXP7y25hQ,1.0,2.0,4.0,13.0,1.0,10.0,10.0,,5.0,,1.0,7.0,,,,
MUh_xgm8Uz58v7JH9F9dfQ,40.0,34.0,47.0,41.0,3.0,38.0,56.0,1.0,13.0,3.0,3.0,18.0,11.0,,,1.0
MWaeG9XhJdFzbcrSrpF6mQ,60.0,41.0,60.0,60.0,10.0,58.0,60.0,,16.0,2.0,11.0,32.0,4.0,,8.0,
Mh5o8RtQNNUxhoJe6BxVkg,60.0,55.0,56.0,38.0,14.0,57.0,60.0,1.0,6.0,1.0,6.0,22.0,11.0,,3.0,1.0
MjeuqfVgxCL_XVJJoCLTFg,15.0,4.0,21.0,31.0,4.0,19.0,20.0,2.0,11.0,1.0,,28.0,,1.0,1.0,
MmI91-KoLkfdMVQhaafvMQ,19.0,1.0,14.0,7.0,3.0,54.0,11.0,,12.0,,,14.0,,,,
MoEFowzpF2dlBFOhW1L0WQ,2.0,3.0,,9.0,,15.0,3.0,,2.0,,2.0,5.0,,,,
MryRUvM1rVVtCXBuP8652w,9.0,2.0,3.0,15.0,,16.0,11.0,1.0,4.0,,,15.0,,,2.0,
MyhLWqqSB-yKQWEM7ASKZQ,33.0,12.0,60.0,46.0,8.0,24.0,60.0,1.0,10.0,1.0,5.0,12.0,8.0,,,1.0
N3pFchYNlKUD86nLFMjJAw,6.0,,3.0,1.0,,21.0,3.0,3.0,1.0,,,4.0,,,1.0,
NBdAqG4Kdqy0BrCrWa0xUg,13.0,3.0,12.0,13.0,1.0,28.0,11.0,3.0,4.0,,3.0,18.0,,,1.0,
NRYEiz_iCGl6_4rYpyBmew,5.0,1.0,12.0,,2.0,3.0,16.0,,,,,,,,,
NTm6VhKpSIKkAf9D2RsElw,37.0,32.0,43.0,34.0,2.0,41.0,42.0,1.0,10.0,3.0,1.0,17.0,9.0,,,1.0
NaGkRnNbLcJdI8cF8JE3hw,25.0,10.0,39.0,34.0,2.0,29.0,32.0,2.0,10.0,3.0,8.0,11.0,,,,
