yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
-lgNzAEyFr8LCTuBTWnAMg,60.0,60.0,60.0,60.0,17.0,60.0,60.0,1.0,37.0,6.0,12.0,53.0,14.0,5.0,5.0,,
-olla_BldF5Y84I9ezRNdA,60.0,15.0,60.0,38.0,3.0,59.0,60.0,,18.0,13.0,8.0,60.0,16.0,2.0,4.0,,
-tQ9Zlb5d9PPlDz_6UgV7w,24.0,5.0,60.0,21.0,7.0,16.0,43.0,,27.0,2.0,4.0,22.0,,1.0,4.0,,
-vF3hX7v1R4oAjfNgifZvA,60.0,26.0,60.0,60.0,13.0,41.0,60.0,1.0,60.0,9.0,11.0,60.0,11.0,4.0,7.0,,
0087AC_NnFRtC0c9FsB9pw,51.0,15.0,60.0,60.0,16.0,29.0,60.0,,56.0,5.0,18.0,60.0,11.0,3.0,3.0,,
00_6_pWRho0Iu1veDLe2aA,14.0,4.0,4.0,11.0,1.0,14.0,2.0,2.0,3.0,,,5.0,,,1.0,,1.0
00_r4JxB_1n_pQnfHo4UGA,7.0,2.0,2.0,10.0,,6.0,4.0,3.0,3.0,,,5.0,,,,,
00jHmlu0elBhzBsw7Y5pww,24.0,14.0,16.0,40.0,,11.0,8.0,,7.0,2.0,,15.0,5.0,1.0,5.0,,1.0
01eI6pT0doZiu0nm-Gl7RA,3.0,2.0,6.0,13.0,,16.0,4.0,4.0,5.0,,,9.0,,,,,
03CMrhOXIG3zSgM6rQClEg,29.0,5.0,18.0,36.0,1.0,21.0,8.0,2.0,2.0,,,11.0,2.0,3.0,3.0,,1.0
04NdwZnSFH3FXFBtwCrrAg,22.0,6.0,7.0,19.0,,37.0,4.0,1.0,1.0,,3.0,42.0,1.0,2.0,1.0,,
04exhf1PZ79_Km9vHAzvfA,60.0,35.0,60.0,60.0,21.0,15.0,60.0,,39.0,2.0,16.0,46.0,25.0,7.0,9.0,,
0ALbdMnTBX0vkSPLzIDMlw,60.0,29.0,60.0,60.0,26.0,33.0,60.0,1.0,60.0,8.0,9.0,60.0,12.0,3.0,6.0,,2.0
0Ayiz5GXZ2z2dWhRcFxLlg,10.0,2.0,2.0,11.0,,16.0,1.0,6.0,,,1.0,6.0,,,,,1.0
0BHYYESPaFsFrPmvYrR-ew,5.0,1.0,6.0,3.0,,10.0,1.0,,1.0,,,2.0,1.0,,3.0,,
0BoRHt9GuiXzmvNmrBVMOw,28.0,25.0,12.0,10.0,1.0,9.0,9.0,,4.0,,,7.0,,,1.0,,
0CjK3esfpFcxIopebzjFxA,56.0,39.0,42.0,60.0,11.0,28.0,60.0,,7.0,2.0,8.0,59.0,19.0,2.0,14.0,,
0DVNloBEwz5dkNMnc8r7bg,4.0,1.0,2.0,3.0,,13.0,,,2.0,,,4.0,,,1.0,,
0FaLilJs2VN83hOEBcBnPg,31.0,4.0,60.0,60.0,3.0,39.0,47.0,,14.0,5.0,7.0,52.0,1.0,1.0,1.0,,
0GeWlp7_SBsKBKUa10QBIg,60.0,60.0,59.0,60.0,10.0,51.0,42.0,,60.0,4.0,10.0,42.0,8.0,4.0,2.0,,
0K14fz91-JSZd-wselihxA,11.0,4.0,3.0,17.0,5.0,22.0,6.0,,2.0,,3.0,42.0,,1.0,2.0,,
0KVRpJLGvGG9xu8HS327sw,37.0,18.0,25.0,49.0,4.0,15.0,14.0,2.0,11.0,1.0,,12.0,2.0,,1.0,,
0MKoNDPcVRrw8Sm4d4WUKQ,3.0,1.0,,6.0,,7.0,,2.0,,,,,1.0,,,,
0O0DV4tKQkp2lS2wGcg_7A,7.0,1.0,4.0,9.0,,7.0,1.0,1.0,2.0,,3.0,6.0,1.0,,,,
0Q13lJ3OHXOuBVpN6jeTjw,45.0,15.0,60.0,60.0,10.0,36.0,60.0,1.0,20.0,,6.0,55.0,1.0,3.0,2.0,,2.0
0Ri8MuVm2EkURIi6GTtaMA,5.0,,3.0,3.0,1.0,13.0,1.0,4.0,4.0,,,6.0,,,,,
0SakkRuHhECsDsZ8mRkisQ,4.0,,2.0,9.0,1.0,24.0,6.0,3.0,1.0,,,20.0,1.0,,5.0,,
0SkcVXP7tT-TTNViAGaodw,29.0,17.0,4.0,44.0,,12.0,7.0,3.0,12.0,,1.0,7.0,4.0,,,,
0TARSjXoG1f711Nd1GfpeA,,,1.0,1.0,,,,,,,1.0,4.0,,,,,
0U8gOnAAVEDzVtXy8x2mbg,60.0,60.0,60.0,60.0,26.0,60.0,60.0,2.0,30.0,4.0,13.0,53.0,27.0,3.0,3.0,,
0ZIWsNhLPUv-N2HW8hMTJA,47.0,19.0,60.0,60.0,12.0,22.0,60.0,,38.0,5.0,10.0,60.0,6.0,4.0,1.0,,
0alEeu0dAvbmR91tM1afiw,2.0,,,3.0,,5.0,,,2.0,,,2.0,,,,,
0c6Xt-P2x40DbMW7tMVDgw,6.0,5.0,1.0,8.0,,5.0,3.0,1.0,2.0,1.0,,10.0,,,,,
0frCoaUJ_XWiz1BXiHBcwg,60.0,60.0,60.0,60.0,21.0,60.0,60.0,1.0,28.0,7.0,10.0,59.0,31.0,4.0,2.0,,
0iCISI2oP9bkS54hy68Xsw,60.0,23.0,60.0,60.0,11.0,44.0,43.0,,27.0,,8.0,60.0,2.0,1.0,5.0,,
0lT6IcJmKFr1uSvja1aTOw,46.0,19.0,34.0,60.0,4.0,19.0,19.0,2.0,13.0,1.0,,12.0,8.0,,2.0,,
0oSqhCkK1qCY3I7-o0ZR1A,22.0,18.0,6.0,16.0,1.0,7.0,6.0,,3.0,,,9.0,,,1.0,,
0rBKV1lp6ogBO0Cl4TPRUQ,,,,,,,2.0,1.0,,,,,,,,,
0rZxGNTsDzMmDYQb1sMDOw,3.0,,1.0,,,,,,,,,,,,,,1.0
0xl3JnEgbA4P6KKfJYup6w,9.0,2.0,1.0,11.0,,18.0,4.0,3.0,2.0,,,9.0,,,1.0,,
0zxGc7hit7mFSk2o1PvIdQ,60.0,39.0,60.0,60.0,16.0,17.0,60.0,,37.0,3.0,16.0,51.0,25.0,6.0,10.0,,
1-tTWAxTZq3fpt-Pm1iHjA,15.0,5.0,17.0,32.0,2.0,32.0,18.0,1.0,1.0,,1.0,23.0,,1.0,5.0,,
