yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
0KJwtZUbEzD6-AKy63tiOQ,1.0,,1.0,2.0,,8.0,1.0,,,1.0,1.0,4.0,1.0,,,,
0KivSxVviWhrhZHYoR_ZhA,1.0,,2.0,,,3.0,,,1.0,,,,,,,,
0LvclCHQlp12O4rOmxk7Vg,14.0,9.0,4.0,14.0,1.0,10.0,6.0,,4.0,1.0,,3.0,2.0,,2.0,,
0NDw1BjN8wOwqwONOYFVdg,9.0,3.0,5.0,26.0,,6.0,4.0,1.0,11.0,,,9.0,2.0,,1.0,,
0O82pNflot-e02qbAwdMBg,1.0,,2.0,1.0,,4.0,2.0,2.0,,,1.0,1.0,,,,,
0OC1CHSMBa0em4A7L5R9KQ,13.0,5.0,2.0,21.0,1.0,6.0,8.0,,1.0,1.0,,,6.0,,,,
0QDJ-BvdQ0xUVb2hxc1XNw,12.0,6.0,7.0,45.0,,8.0,2.0,3.0,6.0,1.0,,10.0,3.0,,1.0,,
0RtUxn_JVUWD3P7HwyA3Lw,7.0,,,11.0,,13.0,2.0,1.0,4.0,,1.0,12.0,,,,,
0S84qHxI7LhQovkp725oXQ,6.0,5.0,3.0,10.0,,13.0,4.0,,4.0,,,3.0,,,,,
0SIgsk8eoMP0txb-hKcK_A,18.0,10.0,5.0,24.0,4.0,8.0,7.0,,9.0,4.0,4.0,15.0,,,1.0,,
0SexTmIF7OgAQNUJuyKYpA,9.0,1.0,15.0,37.0,1.0,21.0,10.0,3.0,5.0,,,15.0,,,2.0,,
0YW5kl8WE1WHhXPxXXjjgg,8.0,6.0,13.0,15.0,4.0,15.0,12.0,1.0,5.0,2.0,1.0,17.0,3.0,,2.0,,
0Zdd0qp4MgDh7fChBP8ISg,27.0,7.0,29.0,12.0,,31.0,18.0,,9.0,,1.0,9.0,4.0,,1.0,,
0_-4iI3bouR0DWhtCyIbcQ,10.0,3.0,6.0,18.0,,19.0,8.0,3.0,5.0,,1.0,10.0,3.0,,,,
0da9y99NpbY6jc7ZgBMHbw,8.0,2.0,4.0,40.0,2.0,17.0,8.0,2.0,3.0,,,21.0,1.0,,2.0,,
0giDcyNWX-cYW9dsJc43uQ,14.0,1.0,5.0,2.0,2.0,17.0,2.0,4.0,6.0,,,7.0,1.0,,1.0,,
0hg7Y3Gxyja1Lst3uLwwRQ,4.0,,,7.0,,,,4.0,1.0,,,1.0,1.0,,1.0,,
0jOt0ODWCp8fJzzOM4PgqA,13.0,2.0,4.0,12.0,6.0,9.0,7.0,,3.0,,,15.0,,,2.0,,
0orqwPqhjI0chC0nATkROA,8.0,5.0,14.0,13.0,4.0,7.0,19.0,,3.0,4.0,2.0,8.0,6.0,,3.0,,
0pY8gWdDAb5clQYKdVA8fA,16.0,5.0,24.0,36.0,4.0,23.0,10.0,,10.0,1.0,3.0,6.0,1.0,,1.0,,
0vRsHjV66oUDcszA8EWq0w,6.0,2.0,2.0,11.0,,17.0,8.0,3.0,2.0,2.0,,7.0,,,,,
0yXVWg9lJM38XS2Y8yo40g,2.0,1.0,2.0,2.0,1.0,,1.0,,1.0,,,,1.0,,,,
0z23Jk7U_MpvtqKINPL2fA,8.0,1.0,4.0,8.0,3.0,20.0,8.0,3.0,,,,20.0,1.0,,1.0,,
1--e5dJFAL0aSHuHTxHsNw,9.0,4.0,3.0,8.0,3.0,11.0,2.0,2.0,6.0,,1.0,11.0,1.0,,1.0,,
1485i_hasWimFGt8kx7CsA,4.0,2.0,3.0,10.0,1.0,5.0,3.0,,1.0,1.0,,1.0,2.0,,,,
1Bs9tQrQHPvhxsZP1rzsLg,1.0,,3.0,5.0,,6.0,1.0,2.0,4.0,,,3.0,1.0,,,,
1DR9i8tqBIA_L3bJG9dySQ,9.0,3.0,10.0,27.0,1.0,5.0,6.0,1.0,9.0,,1.0,4.0,3.0,,1.0,,
1Hib2biAMjEav63D7Y_Wcw,6.0,,2.0,6.0,,12.0,,1.0,1.0,,,1.0,,,,,
1M4U8BZzWRcV1ZRw1SUjwA,8.0,1.0,13.0,26.0,,5.0,4.0,2.0,6.0,,,1.0,1.0,,,,
1Q9StN24nFr4L7cvV3hNEw,15.0,7.0,17.0,60.0,,12.0,9.0,2.0,17.0,,,7.0,5.0,,2.0,,
1QIE6_5eJzBIctAdkb0IBw,12.0,1.0,5.0,6.0,1.0,11.0,4.0,5.0,2.0,1.0,,9.0,1.0,,1.0,,
1SeCdGBjwEEO2MwJ7jPFeg,7.0,2.0,3.0,3.0,1.0,43.0,6.0,,3.0,,1.0,6.0,1.0,1.0,,,
1T-i8pJyoxCOnXvh0NLMJA,7.0,5.0,1.0,7.0,1.0,6.0,2.0,1.0,1.0,,,6.0,2.0,,1.0,,
1YEy59MIN_mBooy0otE3xQ,8.0,4.0,12.0,36.0,,8.0,8.0,,3.0,,1.0,4.0,1.0,,,,
1YedTUOBgR5XmJ1BMlv70Q,12.0,2.0,15.0,36.0,2.0,19.0,5.0,2.0,11.0,2.0,2.0,3.0,,,1.0,,
1ZzhJds84q831qpnJC-ZFA,10.0,,5.0,18.0,3.0,13.0,7.0,,13.0,3.0,1.0,10.0,3.0,,,,
1_t66uVkrY8NIZ7NqYUEDw,,,1.0,1.0,,3.0,,,,,,1.0,,,,,
1avUwGw3_nPdesXlnRs0PQ,2.0,,1.0,3.0,,12.0,1.0,1.0,1.0,,,4.0,,,,,
1dJjV_e8X89BYRcHtX7BKg,10.0,4.0,3.0,23.0,,12.0,7.0,1.0,4.0,,,,7.0,,1.0,,
1e_j1BtMaTinWLC52RJI9w,19.0,7.0,16.0,37.0,4.0,10.0,18.0,3.0,9.0,5.0,2.0,12.0,6.0,,3.0,,
1g0N_c_9zFCdnYDViKnZAA,14.0,2.0,4.0,13.0,3.0,13.0,7.0,3.0,2.0,,,19.0,,,2.0,,
1jMkzHHGpOO3TVpqPfj5yQ,13.0,7.0,3.0,31.0,,7.0,6.0,,5.0,,1.0,3.0,3.0,,,,
