yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,train_station
4jkGZhbMPUg3Talazishtg,14.0,7.0,17.0,4.0,1.0,10.0,19.0,,5.0,1.0,5.0,7.0,2.0,,,
4k_wbk7GppLxBhfga3Fdjw,2.0,1.0,1.0,6.0,1.0,13.0,3.0,,2.0,,1.0,7.0,,,,
4mClpg19Ntiw1s75kF19Bg,42.0,22.0,43.0,47.0,6.0,22.0,60.0,1.0,15.0,3.0,3.0,38.0,6.0,4.0,3.0,1.0
55PGG2U1z-q7Z694F-B-_w,51.0,21.0,60.0,31.0,3.0,15.0,38.0,,13.0,,10.0,17.0,8.0,2.0,1.0,
58cDJU4cub1o0o0B4h9GrA,16.0,8.0,17.0,8.0,3.0,31.0,15.0,1.0,9.0,1.0,1.0,17.0,1.0,1.0,,
5HMXgD_gui5n0Tc_hadesg,15.0,9.0,23.0,19.0,4.0,35.0,10.0,,8.0,1.0,3.0,19.0,1.0,,4.0,
5LEP8Rcb4_To8amoZodtow,17.0,9.0,28.0,22.0,4.0,32.0,11.0,,9.0,1.0,1.0,17.0,1.0,,4.0,
5TsjdwNt10gxGChQtGGpdg,12.0,5.0,19.0,14.0,5.0,23.0,7.0,1.0,7.0,1.0,3.0,15.0,1.0,,2.0,
5oUOPgwX1fyfCpoy2oqKLA,16.0,4.0,3.0,19.0,,24.0,5.0,1.0,7.0,,2.0,11.0,,,1.0,1.0
5rINmqRcMlJCBR3vwMKbtg,13.0,5.0,14.0,14.0,5.0,20.0,6.0,2.0,7.0,,3.0,9.0,1.0,,4.0,
6H313b3O6gTULpR7fV2FsQ,57.0,37.0,50.0,18.0,1.0,16.0,33.0,,10.0,3.0,7.0,10.0,3.0,1.0,,
6pNibxhQbAqQcEMr2Jy1Ew,6.0,5.0,2.0,4.0,,17.0,2.0,,,,2.0,3.0,1.0,,,
6q5TIpdyLXLBvOv3wyizWA,3.0,1.0,1.0,3.0,,10.0,2.0,,1.0,,,7.0,,,1.0,
6t1Y9dPhbGLEpGEecV9wdA,6.0,3.0,1.0,6.0,1.0,20.0,1.0,1.0,,,,7.0,,,,1.0
7200x8GYzQSeBzuiv3_4BA,4.0,1.0,3.0,1.0,,7.0,1.0,2.0,3.0,,,7.0,,,,
72PQGMhrEcIuWH-S44TprA,18.0,9.0,23.0,15.0,5.0,24.0,10.0,2.0,8.0,1.0,2.0,15.0,2.0,,4.0,
757zI3bNk4CZ9cql3T6rbQ,17.0,9.0,2.0,12.0,,24.0,5.0,3.0,3.0,,,5.0,1.0,,1.0,
7hJ2pItzMoAJQKdvbAmdpw,9.0,3.0,3.0,5.0,,13.0,3.0,,4.0,,,5.0,,,,
8XH25e94Tf8UNzSr-OWHeQ,11.0,4.0,6.0,11.0,3.0,19.0,5.0,3.0,6.0,,4.0,11.0,,,2.0,
8oofaDz2nL0gzvAXaLbR4w,3.0,,3.0,2.0,,12.0,2.0,,,,,3.0,,,,
9-KBO2jGuvMCrM88ysDLTA,18.0,10.0,14.0,14.0,2.0,25.0,10.0,1.0,5.0,2.0,1.0,11.0,1.0,1.0,1.0,
9Jiax4wZ94ZmMcMzmpdvJA,10.0,1.0,2.0,14.0,,7.0,7.0,,12.0,,,11.0,,,1.0,
9LPokpPIiNCC5ilJXwX_rQ,10.0,6.0,5.0,6.0,,2.0,3.0,1.0,6.0,1.0,,1.0,3.0,,,
9RH1xBIMMAZXg9s_XW_sLg,3.0,1.0,4.0,6.0,3.0,4.0,3.0,1.0,2.0,,1.0,21.0,,,,
9jlK2GUXrk40TbN1yTSMJw,11.0,7.0,2.0,19.0,1.0,16.0,3.0,2.0,8.0,,2.0,8.0,,,,
9m678PeuzwYamIf6sysUHg,60.0,60.0,49.0,44.0,8.0,26.0,60.0,2.0,22.0,1.0,12.0,52.0,7.0,4.0,1.0,
