,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
241,94107,29805,14409,1706,69,6389,147,128,990,2761,94.6%,,33.5%,4.2%,33.9 minutes,47.0%,40.0%,1.6%,4.5%,6.8%
242,94108,14914,4425,239,21,7933,23,25,289,813,72.5%,,16.3%,3.9%,28.2 minutes,45.0%,37.8%,1.7%,7.1%,8.4%
243,94109,56822,30255,2108,182,15150,90,191,1886,6122,92.8%,,24.6%,3.2%,30.8 minutes,56.3%,28.7%,1.4%,4.6%,9.0%
244,94110,74565,29125,2251,190,8615,190,202,2165,26595,87.3%,,22.0%,5.0%,31.3 minutes,51.3%,34.9%,1.6%,2.8%,9.3%
245,94111,3481,2016,82,3,1350,2,4,63,193,92.3%,,32.9%,6.4%,27.8 minutes,41.2%,41.4%,0.2%,6.7%,10.5%
246,94112,85205,12008,3090,111,38982,259,191,1608,23158,79.3%,,8.8%,6.5%,34.7 minutes,39.0%,46.0%,1.9%,5.4%,7.7%
247,94114,33984,23031,566,68,3177,37,137,1172,2936,99.7%,,42.0%,2.9%,34.0 minutes,52.1%,35.8%,0.7%,2.7%,8.7%
248,94115,35178,18698,4042,51,6202,86,110,1214,2618,95.3%,,32.0%,4.6%,32.3 minutes,49.6%,35.4%,0.9%,4.5%,9.6%
249,94116,46594,15200,480,57,23862,62,90,1291,2656,88.7%,,17.5%,4.8%,36.1 minutes,35.8%,51.0%,0.6%,6.6%,5.9%
250,94117,43944,26658,2327,100,4238,62,120,1754,3910,98.9%,,30.5%,4.2%,33.6 minutes,58.8%,30.0%,1.1%,2.1%,8.0%
251,94118,42259,20165,614,47,13388,62,170,1430,2443,93.0%,,28.6%,4.2%,32.0 minutes,45.0%,42.2%,1.1%,4.3%,7.3%
252,94121,43332,17570,662,66,18711,44,145,1487,2518,89.8%,,22.2%,3.4%,35.4 minutes,37.3%,46.6%,1.0%,6.7%,8.4%
253,94122,62918,22301,775,65,27278,81,204,1893,3426,91.1%,,22.6%,3.7%,35.5 minutes,40.5%,45.6%,1.1%,5.9%,6.9%
254,94123,25600,18552,168,21,2407,20,79,586,1255,100.1%,,31.2%,3.3%,32.4 minutes,52.6%,36.6%,1.1%,3.0%,6.7%
